namespace,cbb_err_msg
AUICME0005,확인하십시오. 입력 값을 확인하십시요.
AUICME0006,입력하십시오. 입력 값을 확인하십시요.
AUICME0007,사용중인 정보입니다. 입력 값을 확인하십시요.
AUICME0008,사용가능한 정보입니다.  
AUICME0009,기관코드가 존재하지 않습니다. 상단의 처리 기관을 조회해 주세요.
AUICME0010,세부 정보가 없습니다. 세부 정보를 입력하세요.
AUICME0011,삭제할 코드가 없습니다. 삭제할 코드를 체크하세요.
AUICME0012,상위 코드가 없습니다. 상위 코드를 확인하세요.
AUICME0013,코드번호 이름이 없습니다. 코드번호 이름을 입력하세요.
AUICME0014,입력된 데이터가 없습니다. 데이터를 선택해주세요.
AUICME0015,프로젝트 구분 코드가 없습니다. 프로젝트 구분 코드를 입력해주세요.
AUICME0016,프로젝트 구분 코드 값이 이상합니다. 프로젝트 구분 코드를 확인해주세요.
AUICME0017,채널 코드 값이 옳지 않습니다. 채널 코드 값을 확인해주세요.
AUICME0018,언어 코드 값이 옳지 않습니다. 언어 코드 값을 확인해주세요.
AUICME0019,메시지 내용이 옳지 않습니다. 메시지 내용을 확인해주세요.
AUICME0020,조치 내용이 옳지 않습니다. 조치 내용을 확인해주세요.
AUICME0021,저장할 에러 메시지가 없습니다. 저장할 에러 메시지를 체크해주세요.
AUICME0022,메시지 서버 화면 구분 코드가 없습니다. 메시지 서버 화면 구분 코드를 입력해주세요.
AUICME0023,세부 사항이 없습니다. 세부 사항을 먼저 조회하세요.
AUICME0024,테이블 명이 없습니다. 왼쪽 메뉴의 테이블을 클릭해주세요.
AUICME0025,확장 속성 이름이 없습니다. 확장 속성 이름을 입력해주세요.
AUICME0027,기관에서는 표준 확장 속성을 지울 수 없습니다. 기관을 등록 후 삭제하세요.
AUICME0028,잘못된 입력 값이 있습니다. 입력 값을 확인하십시요.
AUICME0029,하위 노드가 있는 노드는 지울 수 없습니다. 하위 노드를 먼저 삭제해주세요.
AUICME0030,확장코드인 경우 개별 코드는 이 화면에서 등록할수 없습니다. 해당 화면에서 등록하시기 바랍니다.
AUICME0031,검색 조건이 없습니다. 하나 이상의 검색 조건을 입력해주세요.
AUICME0032,더 이상 조회할 자료가 없습니다. 입력 값을 확인하십시요.
